tweet_id,favorites,retweets,user_followers,user_favourites,date_time
864279568663928832,13076,2589,9270026,146760,2017-05-16 00:41:21+00:00
864197398364647424,26651,7599,9270026,146760,2017-05-15 19:14:50+00:00
863907417377173506,18453,3597,9269946,146756,2017-05-15 00:02:33+00:00
863427515083354112,1962,80,9269947,146756,2017-05-13 16:15:35+00:00
863079547188785154,7901,954,9270027,146760,2017-05-12 17:12:53+00:00
863062471531167744,7531,2093,9269947,146756,2017-05-12 16:05:02+00:00
862831371563274240,17219,4465,9269947,146756,2017-05-12 00:46:44+00:00
862722525377298433,15337,3093,9269947,146756,2017-05-11 17:34:13+00:00
862457590147678208,18290,4266,9269947,146756,2017-05-11 00:01:27+00:00
862096992088072192,66302,20030,9269947,146756,2017-05-10 00:08:34+00:00
861383897657036800,32313,9281,9269947,146756,2017-05-08 00:54:59+00:00
861288531465048066,15358,3595,9269947,146756,2017-05-07 18:36:02+00:00
861005113778896900,15012,3344,9270027,146760,2017-05-06 23:49:50+00:00
860981674716409858,0,1859,9270027,146760,2017-05-06 22:16:42+00:00
860924035999428608,0,679,9269947,146756,2017-05-06 18:27:40+00:00
860563773140209665,6732,1859,9269947,146756,2017-05-05 18:36:06+00:00
860184849394610176,15040,5129,9269947,146756,2017-05-04 17:30:24+00:00
860177593139703809,0,26794,9270027,146760,2017-05-04 17:01:34+00:00
859924526012018688,17639,3590,9270027,146760,2017-05-04 00:15:58+00:00
859851578198683649,13985,3073,9270027,146760,2017-05-03 19:26:06+00:00
859607811541651456,16848,1368,9269947,146756,2017-05-03 03:17:27+00:00
859196978902773760,80674,26330,9269568,146756,2017-05-02 00:04:57+00:00
859074603037188101,30468,11987,9269947,146756,2017-05-01 15:58:40+00:00
858860390427611136,0,7099,9270027,146760,2017-05-01 01:47:28+00:00
858107933456039936,14249,2542,9270027,146760,2017-04-28 23:57:28+00:00
857989990357356544,14508,2271,9270026,146760,2017-04-28 16:08:49+00:00
857746408056729600,30850,9366,9269946,146756,2017-04-28 00:00:54+00:00
857393404942143489,5319,1444,9269946,146756,2017-04-27 00:38:11+00:00
857263160327368704,18269,3993,9269946,146756,2017-04-26 16:00:39+00:00
857214891891077121,204,16,9269946,146756,2017-04-26 12:48:51+00:00
857062103051644929,0,148,9270026,146760,2017-04-26 02:41:43+00:00
857029823797047296,17064,3499,9269946,146756,2017-04-26 00:33:27+00:00
856543823941562368,14847,2553,9269946,146756,2017-04-24 16:22:16+00:00
856526610513747968,10848,1657,9270025,146760,2017-04-24 15:13:52+00:00
856288084350160898,487,15,9269945,146756,2017-04-23 23:26:03+00:00
856282028240666624,25267,5591,9269945,146756,2017-04-23 23:01:59+00:00
855862651834028034,302,21,9269945,146756,2017-04-22 19:15:32+00:00
855860136149123072,4424,853,9270025,146760,2017-04-22 19:05:32+00:00
855851453814013952,41920,16155,9270025,146760,2017-04-22 18:31:02+00:00
855818117272018944,24313,4823,9270025,146760,2017-04-22 16:18:34+00:00
855459453768019968,27131,7320,9270025,146760,2017-04-21 16:33:22+00:00
855245323840757760,0,5277,9269945,146756,2017-04-21 02:22:29+00:00
855138241867124737,0,36,9270025,146760,2017-04-20 19:16:59+00:00
854732716440526848,20704,5366,9270025,146760,2017-04-19 16:25:34+00:00
854482394044301312,26620,6041,9270025,146760,2017-04-18 23:50:52+00:00
853760880890318849,26130,5121,9269566,146756,2017-04-17 00:03:50+00:00
853639147608842240,31592,8896,9270025,146760,2017-04-16 16:00:07+00:00
853299958564483072,14188,3178,9270025,146760,2017-04-15 17:32:18+00:00
852936405516943360,0,1792,9269945,146756,2017-04-14 17:27:40+00:00
852912242202992640,8270,1602,9269945,146756,2017-04-14 15:51:39+00:00
852672615818899456,13669,1917,9269945,146756,2017-04-13 23:59:28+00:00
852553447878664193,14919,3128,9269945,146756,2017-04-13 16:05:56+00:00
852189679701164033,10589,1421,9269945,146756,2017-04-12 16:00:27+00:00
851591660324737024,14979,3134,9269945,146756,2017-04-11 00:24:08+00:00
851464819735769094,22302,6327,9270025,146760,2017-04-10 16:00:07+00:00
851224888060895234,19073,5183,9269945,146756,2017-04-10 00:06:42+00:00
850753642995093505,28195,8107,9269945,146756,2017-04-08 16:54:09+00:00
850380195714523136,12099,2336,9269945,146756,2017-04-07 16:10:12+00:00
850333567704068097,3195,301,9270025,146760,2017-04-07 13:04:55+00:00
850145622816686080,15065,3404,9270025,146760,2017-04-07 00:38:06+00:00
850019790995546112,18814,4388,9270025,146760,2017-04-06 16:18:05+00:00
849776966551130114,27961,6843,9269945,146756,2017-04-06 00:13:11+00:00
849668094696017920,0,4458,9269945,146756,2017-04-05 17:00:34+00:00
849412302885593088,14695,2840,9270025,146760,2017-04-05 00:04:08+00:00
849336543269576704,10574,1696,9269945,146756,2017-04-04 19:03:06+00:00
849051919805034497,39057,7652,9269945,146756,2017-04-04 00:12:06+00:00
848690551926992896,23295,3935,9270025,146760,2017-04-03 00:16:10+00:00
848324959059550208,22856,4164,9270025,146760,2017-04-02 00:03:26+00:00
848213670039564288,7548,647,9270025,146760,2017-04-01 16:41:12+00:00
848212111729840128,15063,2724,9270024,146760,2017-04-01 16:35:01+00:00
847978865427394560,0,2931,9270024,146760,2017-04-01 01:08:10+00:00
847971574464610304,0,396,9269944,146756,2017-04-01 00:39:12+00:00
847962785489326080,21769,4591,9269944,146756,2017-04-01 00:04:17+00:00
847842811428974592,5022,1193,9270024,146760,2017-03-31 16:07:33+00:00
847617282490613760,6480,376,9269944,146756,2017-03-31 01:11:22+00:00
847606175596138505,17378,3100,9270024,146760,2017-03-31 00:27:14+00:00
847251039262605312,19006,3929,9270024,146760,2017-03-30 00:56:03+00:00
847157206088847362,18405,5266,9270024,146760,2017-03-29 18:43:12+00:00
846514051647705089,41267,10416,9270024,146760,2017-03-28 00:07:32+00:00
846505985330044928,13095,2770,9270024,146760,2017-03-27 23:35:28+00:00
846153765933735936,29156,8197,9270024,146760,2017-03-27 00:15:53+00:00
846139713627017216,28857,9188,9270024,146760,2017-03-26 23:20:02+00:00
846042936437604353,14839,2598,9269944,146756,2017-03-26 16:55:29+00:00
845812042753855489,27076,7893,9269944,146756,2017-03-26 01:38:00+00:00
845677943972139009,23474,4396,9269944,146756,2017-03-25 16:45:08+00:00
845098359547420673,0,6956,9270024,146760,2017-03-24 02:22:04+00:00
844979544864018432,12688,2319,9270024,146760,2017-03-23 18:29:57+00:00
844973813909606400,13959,2865,9269944,146756,2017-03-23 18:07:10+00:00
844580511645339650,15314,2823,9270024,146760,2017-03-22 16:04:20+00:00
844223788422217728,12729,1994,9270024,146760,2017-03-21 16:26:50+00:00
843981021012017153,14150,2705,9269944,146756,2017-03-21 00:22:10+00:00
843856843873095681,20003,4179,9269944,146756,2017-03-20 16:08:44+00:00
843604394117681152,15735,2487,9269944,146756,2017-03-19 23:25:35+00:00
843235543001513987,20008,5434,9269944,146756,2017-03-18 22:59:54+00:00
842846295480000512,14247,3321,9270024,146760,2017-03-17 21:13:10+00:00
842765311967449089,6308,1178,9269944,146756,2017-03-17 15:51:22+00:00
842535590457499648,16949,3192,9269944,146756,2017-03-17 00:38:32+00:00
841833993020538882,0,13618,9269944,146756,2017-03-15 02:10:39+00:00
841680585030541313,24072,7177,9269944,146756,2017-03-14 16:01:03+00:00
841439858740625411,11767,3342,9269944,146756,2017-03-14 00:04:30+00:00
841320156043304961,18454,5035,9269944,146756,2017-03-13 16:08:50+00:00
841314665196081154,14773,4248,9270024,146760,2017-03-13 15:47:01+00:00
